Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
Patel,2013,Bolivia,0,,70,70,,0.42,39,,,,66,65,,77,76,,,,,,,9.3,41.3,25,1955.5,NULL,18.1,23.3,0.2,47.7,94.2,8.8,3.5,66.4
,,,0,,79,80,,0.55,57,,,,79,79,,78,78,,,,,,,,,,,,,,,,,,,
Pringle,2016,Bolivia,0,59,54,59,0.26,0.16,,,children <5 yr,76,75,,45,53,,,,,,,,9.7,36.7,23.7,2908.2,NULL,20.1,19,0.2,47.6,95.9,6.9,3.6,67.7
Gastañaduy,2016,Guatemala,0,,73,62, ,,59,74,, ,,74,,,71,,,,,,,137.9,31.9,26.8,3408.8,53.3,NULL,18,0.4,48.3,86.9,9.2,4.3,49
,,,0,,49,,,,60,52,,,,73,,,53,,,,,,,,,,,,,,,,,,,
,,,0,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastañaduy,2016,Botswana,0,,53,54,,0.54,48,,,,,52,,,67,,,,,,,3.7,38.8,26.4,7780.7,NULL,NULL,19.4,22.4,53.3,97.5,14.5,3.9,66.4
Armah,2016,Ghana,0,,80,60,,,,,,,95,78,,,50,,,,,,,119.6,57.1,30.7,1971,31.5,NULL,7.5,1.8,43.2,98.5,11.5,5.2,53.4
Mujuru,2019,Zimbabwe,0,,68,61,,,,,aged <5 yr,,68,61,,-38,-48,,,,,,,36.3,59.5,32.9,1305,NULL,NULL,NULL,13.8,43.2,NULL,21.4,5.8,32.3
Khagayi,2020,Kenya,0,,61,64,,,54,,,,,67,,,72,,,,,,,86.2,47.8,29.9,1410.5,NULL,NULL,23.4,5,40.8,NULL,37.1,6.2,26.1
Matthijnssens,2014,Belgium,0,,,90,,,,,,,,,,,,,,,,,,356.6,4.6,11.8,44583.5,99.5,89.6,2.5,NULL,28.6,NULL,0.1,8,97.6
Braeckman,2012,Belgium,0,,91,90,,,91,,,,,91,,,90,,,,,,,356.6,4.6,11.8,44583.5,99.5,89.6,2.5,NULL,28.6,NULL,0.1,8,97.6
Cortese,2013,USA,0,, , ,,,,,,,,,,,,,,,,,,33.8,7.3,13,48467.5,99,89.3,2.5,0.4,40.6,NULL,1,5.3,80.7
,,USA,0,,91,98,,,, ,,,,85,,,90,,,,,,,,,,,,,,,,,,,
,,,0,,76,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,92,97,,,,84,,,,94,,,90,,,,,,,,,,,,,,,,,,,
,,,0,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immergluck,2016,USA,0,,, ,,,,,,,,,,,,,,,,,,34.1,7,12.4,53117.7,99,89.7,2.5,0.4,40.7,NULL,1,5.3,81.3
,,USA,0,,,,,,,,,,,,,,84,,,82,,,,,,,,,,,,,,,,
,,USA,0,,,,,,,,,,,,,,80,,,87,,,,,,,,,,,,,,,,
Adlhoch,2013,Germany,0,68,,80,,,,,6-29mo,74,,80,57,,85,,,,,,,234.6,4.2,8.33,41531.9,99.8,96.7,2.5,,30.2,99,0,8.4,77
Doll,2015,Canada,0,,,93.8,,,94.7,,8weeks- 3yr,,,,,,,,,,,,,3.9,5.4,10.8,52652.6,98.7,82.5,2.5,NULL,33.8,NULL,0.5,6.7,81.2
Walker,2019,United Kingdom,0,77,,,0.69,,95,,6-23mo,85,,,54,,,,,,,,,267,4.5,12,47425.6,100,97.7,2.5,NULL,34,NULL,0.2,7.3,82.4
Gheorghita,2016,Moldova,0,,84,79,,0.71,60,,, ,92,84,,67,46,,,,,,,99.5,16.2,10.9,3322,72.6,NULL,NULL,0.6,28.5,98,0.1,9.1,42.5
Chang,2014,Taiwan,0, ,, ,,,,,8–35 mo,,,,,,,,,,,,,,NULL,,,,,,,,,,,
,,,0,,,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araki,2018,Japan,0,80,91.4,100,0.67,,,,2 mo- 3yr,85.8,,,,,,,,,,,,349.2,2.8,8.1,38109.4,98.3,98.9,2.5,NULL,32.9,100,NULL,NULL,91.3
,,Japan,0,80.6,,,,,,,,,,,84.5,,,52,75.7,,,,,,,,,,,,,,,,,
,,Japan,0,80.4,,,,,,,,,,,83,,,62,70.8,,,,,,,,,,,,,,,,,
Araki,2019,Japan,0,84.9,,,,,,,2mo- 2yr,,,,,,,,,,,,,349.2,2.8,8.1,38109.4,98.3,98.9,2.5,NULL,32.9,100,NULL,NULL,91.3
,,,0,86.6,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopez,2018,Philippines,0,60,67, ,0.4,0.15,,,,86,,,67,,,,,,,,,347.7,29.3,21.6,3073.7,46.4,50.9,15.2,0.1,44.6,96.9,6.1,5.6,46.5
Zaman,2017,Bangladesh,0,41.4,42.8,,,,,,6-12 weeks,45.2,48,,28.9,26,,,,,,,,1133.7,48.7,21.1,781.2,55.7,NULL,13.8,NULL,32.1,NULL,19.2,8.9,30.5
Eraliev,2020,Uzbekistan,0,,67,51,,,,,6mo - 5 yr,,,52,,,60,,,,,,,71,22.8,23.5,2615,58.9,NULL,2.9,0.2,NULL,99,NULL,NULL,50.8
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5 effectiveness,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field,2010,Australia,0,,,93.9,,,,,,,,,,,,,,,,,,2.7,5.4,14.1,40960.1,NULL,66.8,2.5,0.1,35.4,NULL,0.4,7.2,84.8
Wang,2010,USA,0,96,,100,,,,,6-9 mo,,,,,,,,,,,,,32.9,7.7,14.3,47976,99,89,2.5,0.4,40.8,NULL,1,5.2,80.3
Boom,2010,USA,0,,87,88,,0.79,69,81,,,,,,,,,,,,,,33.2,7.6,14,48382.6,99,89.1,2.5,0.4,40.8,NULL,1,5.2,80.4
,,,0,,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,84,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom,2010,USA,0,,,84,,,,,,,,92,,,81,,,,,,,33.2,7.6,14,48382.6,99,89.1,2.5,0.4,40.8,NULL,1,5.2,80.4
,,,0,,,83,,,,,,,,93,,,78,,,,,,,,,,,,,,,,,,,
,,,0,,,86,,,,,,,,92,,,84,,,,,,,,,,,,,,,,,,,
Staat,2011,USA,0,,,,,,,,,,,,,,,,,,,,,33.2,7.6,14,48382.6,99,89.1,2.5,0.4,40.8,NULL,1,5.2,80.4
,,USA,0,,,95,,,89,89,,,,86,,,90,,,,,,,,,,,,,,,,,,,
,,,0,,,82,,,94, ,,,,84,,,87,,,,,,,,,,,,,,,,,,,
Cortese,2011,USA,0,,, ,,,71,90,,,,93,,,89,,,91,,,,33.2,7.6,14,48382.6,99,89.1,2.5,0.4,40.8,NULL,1,5.2,80.4
,,USA,0,,,,,,62,91,,,,94,,,88,,,87,,,,,,,,,,,,,,,,
,,USA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne,2013,USA,0,,,  ,,,,,,,,,,,,,,,,,,33.8,7.3,13,48467.5,99,89.3,2.5,0.4,40.6,NULL,1,5.3,80.7
,,USA,0,,,70,,,57,,,,,56,,,86,,,,,,,,,,,,,,,,,,,
,,,0,,,84,,,70,78,,,,85,,,89,,,83,,,,,,,,,,,,,,,,
Patel,2009,Nicaragua,0,,58,44,,,55,44,,,,69,,,32,,,,,,,46.5,27.2,24.4,1328,50.7,NULL,21.7,0.2,NULL,NULL,NULL,NULL,56.3
,,,0,,52,43,,,60,41,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,63,49,,,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,
Mast,2011,Nicaragua,0,,76,,,,,,,,85,,,,71,,,,,,,47.1,26,24.1,1499.3,50.8,NULL,21.2,0.2,NULL,NULL,NULL,NULL,56.5
,,,0,,87,,,,,,,,93,,,,85,,,,,,,,,,,,,,,,,,,
,,,0,,64,,,,,,,,78,,,,55,,,,,,,,,,,,,,,,,,,
Patel,2012,Nicaragua,0,,51,45,,,,,,,70,64,,33,64,,,,,,,47.8,24.9,23.8,1444.4,50.9,NULL,20.9,0.2,43.9,NULL,7.4,5.3,56.7
,,,0,,76,70,,,,,,,83,73,,70,73,,,,,,,,,,,,,,,,,,,
Vesikari,2013,Finland,0,,,92.1,,,,,,,,,,,,,,,4.31,,,17.033,2.9,11.1,46460,99,99.1,2.5,NULL,27.6,100,0,9.3,84.3
Gagneur,2011,France,0,,,98,,,,,,,,,,,,,,,,,,117.6,4.3,12.9,45334.1,97.2,89,2.5,0.3,33,NULL,0,7.9,77.9
Muhsen,2018,Israel,0,,,77,,,,72,6-59mo, ,,82,,,9,,,,,,,372.4,4.1,21.3,36309.5,99.6,90.3,2.5,NULL,40.6,100,0.5,4.9,92
Bonkoungou,2018,Burkina Faso,0,,39,35,,,36,16,children <5 years,,,58,,,19,,,,,,,66.2,100.7,39.4,653.3,NULL,NULL,17.6,0.9,35.3,76.9,43.8,8.3,27.5
Tate,2016,Rwanda,0,75,,80,,,,,, ,,65,,,81,,,,,,,427.6,52,33.6,725.6,,,22.2,3.1,45.1,74.2,59.7,6,16.9
Burnett,2021,Haiti,0,,,66,,,,,,,,65,,,69,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotavac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhandari,2014,India,1,35,54,32,,,,,6-7 weeks,34.6,56.4,32.9,,,,,,,,,,425.7,52,19.9,1443.9,NULL,NULL,16.3,NULL,35.7,91.2,22.5,8.1,31.3
,,India,1,36.4,55.1,55.6,,,,,,,,,36.2,48.9,50.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,1102,NULL,NULL,16.4,NULL,35.4,,32.8,8.3,30.6
